# Created by Jon's LWO2DAT

# Points: 434  Polys: 772
I 434 772

# Points...
v -0.034001 -0.128421 -1.107941
v -0.011710 -0.233109 -1.077895
v -0.011956 -0.319843 -1.141871
v -0.039459 -0.134036 -1.146255
v -0.050375 -0.343822 -1.211229
v -0.045801 -0.342922 -1.243659
v 0.000000 -0.446088 -0.464825
v 0.095616 -0.439492 -0.477853
v -0.020826 -0.241768 -1.228441
v 0.087529 -0.384633 0.590387
v -0.140719 0.474532 1.136653
v 0.140719 0.474532 1.136653
v -0.021798 -0.358207 -1.226443
v 0.121061 0.449036 1.138865
v 0.024400 -0.057545 -1.066885
v -0.121061 0.449036 1.138865
v 0.146813 0.443421 1.106728
v -0.146813 0.443421 1.106728
v 0.034189 -0.293658 -1.183883
v 0.139145 0.462960 1.101451
v 0.000000 -0.485939 -0.743437
v -0.139145 0.462960 1.101451
v -0.033338 0.226447 1.373147
v 0.033859 -0.203743 -1.135788
v -0.051413 0.197502 1.324248
v 0.056643 0.250069 1.375035
v -0.008189 -0.057854 -1.070095
v 0.076296 0.254429 1.349757
v 0.080354 0.281246 1.331153
v -0.056643 0.250069 1.375035
v 0.012162 -0.059512 -1.020451
v 0.061744 0.198825 1.276425
v 0.081672 0.096045 -0.995038
v 0.026340 0.201281 1.352676
v -0.174299 0.633448 0.996631
v 0.090712 0.578998 1.016913
v 0.098820 -0.479250 -0.193420
v 0.168039 -0.382735 -0.962451
v 0.174299 0.633448 0.996631
v -0.087670 0.616419 0.936392
v 0.304134 -0.899166 0.469471
v 0.232474 -0.781653 0.401448
v -0.251349 -0.788341 0.352378
v -0.090712 0.578998 1.016913
v -0.080173 0.100854 -0.995346
v -0.232474 -0.781653 0.401448
v 0.203511 0.603091 1.034584
v 0.271175 -0.894862 0.347708
v -0.214627 -0.815184 0.333507
v 0.204582 0.654119 1.126588
v 0.214627 -0.815184 0.333507
v -0.204582 0.654119 1.126588
v -0.271175 -0.894862 0.347708
v 0.177826 -0.804525 0.355153
v -0.177826 -0.804525 0.355153
v 0.170268 -0.916854 0.392960
v 0.118088 0.545889 1.003318
v -0.118088 0.545889 1.003318
v -0.170268 -0.916854 0.392960
v 0.251349 -0.788341 0.352378
v -0.209057 -0.774915 0.410821
v -0.304134 -0.899166 0.469471
v 0.200223 -0.891918 0.476126
v -0.200223 -0.891918 0.476126
v 0.209057 -0.774915 0.410821
v 0.171571 -0.782795 0.377019
v -0.203511 0.603091 1.034584
v -0.171571 -0.782795 0.377019
